Time,Time Code,Country Name,Country Code,"Patent applications, residents",Broad money (% of GDP),Broad money (current LCU),"Population, total","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)","Secondary education, pupils",Market capitalization of listed domestic companies (% of GDP)
2019,YR2019,Afghanistan,AFG,..,34.9592143142587,513759321225.071,38041757,0.12132303904438,0.136441369899119,..,..
2019,YR2019,Albania,ALB,4,78.5268812800047,1318660000000,2854191,7.85669257172221,0.261515533003658,256072,..
2019,YR2019,Algeria,DZA,113,80.8226049001743,16510684196822.3,43053054,0.806974629504463,0.0181986651105742,..,..
2019,YR2019,American Samoa,ASM,..,..,..,55312,..,..,..,..
2019,YR2019,Andorra,AND,3,..,..,77146,..,..,4567,..
2019,YR2019,Angola,AGO,2,31.3262379654146,10219150743838.9,31825299,-4.58354677886438,-2.62748787606689,..,..
2019,YR2019,Antigua and Barbuda,ATG,..,86.0585590444142,3861705720,97115,8.3916831947962,0.678477778024425,..,..
2019,YR2019,Argentina,ARG,442,..,..,44938712,1.49582091110702,0.345545589124809,4620000,8.84363373842695
2019,YR2019,Armenia,ARM,112,46.9698550510148,3085464245016.52,2957728,0.738298433036937,-0.972697910520496,248972,..
2019,YR2019,Aruba,ABW,..,..,4569400000,106310,..,..,..,..
2019,YR2019,Australia,AUS,2637,122.602590653999,2394036267182.5,25365745,2.87827452265991,0.752881519072035,2572153,106.518232516337
2019,YR2019,Austria,AUT,2066,..,..,8879920,-1.8199783496317,-0.155018739516718,691044,29.9046459286735
2019,YR2019,Azerbaijan,AZE,147,35.247430493515,28866306171.83,10024283,3.12183056112494,5.04775838195179,967454,..
2019,YR2019,"Bahamas, The",BHS,..,..,..,389486,1.94859819494911,1.0928137979792,..,..
2019,YR2019,Bahrain,BHR,4,..,..,1641164,2.44773758815233,-0.512220715284069,102003,69.8703430427155
2019,YR2019,Bangladesh,BGD,68,63.6958656078905,16194563000000,163046173,0.630626636876131,0.00762212549166101,15710974,21.2902519703144
2019,YR2019,Barbados,BRB,31,..,..,287021,4.13457477442887,0.534248416202726,19121,65.2332501439816
2019,YR2019,Belarus,BLR,298,36.0045556596649,48509693935.9353,9417849,1.9768777744873,-0.00589973733059903,..,..
2019,YR2019,Belgium,BEL,876,..,..,11488980,-5.6399846286466,-6.52559763128815,1193795,..
2019,YR2019,Belize,BLZ,..,79.630059953515,3157361404.96,390351,4.73691618915791,0.106861899601429,40641,..
2019,YR2019,Benin,BEN,..,27.8216327591835,2345988934659.48,11801151,1.51620780935649,0.188647207295951,..,..
2019,YR2019,Bermuda,BMU,..,..,..,63913,0.0586552674979654,-0.504689907808714,..,39.6212617313501
2019,YR2019,Bhutan,BTN,..,75.8752083719185,135211055360.197,763094,0.514172488223367,0,..,..
2019,YR2019,Bolivia,BOL,..,86.9940314874398,245833546161.457,11513102,-0.529735011311977,0.11814141397292,1241545,..
2019,YR2019,Bosnia and Herzegovina,BIH,45,74.6058444334604,26332693828.74,3300998,2.16663256419375,0.606789944630938,240189,..
2019,YR2019,Botswana,BWA,2,42.9192622656509,84767083089.4676,2303703,0.509777537752152,-0.107801484334696,..,..
2019,YR2019,Brazil,BRA,5464,95.8258109062606,7097840403324.25,211049519,3.68378019124452,1.21522402439781,22248336,63.2311770001822
2019,YR2019,British Virgin Islands,VGB,..,..,..,30033,..,..,1936,..
2019,YR2019,Brunei Darussalam,BRN,7,84.7187706478224,15567062903.8751,433296,2.77114148742985,..,42679,..
2019,YR2019,Bulgaria,BGR,186,85.552554953255,102468220000,6975761,3.0276923494382,1.13397525720691,480957,23.3377137191628
2019,YR2019,Burkina Faso,BFA,..,43.2952123498662,4056409714718.54,20321383,1.01914916001718,0.102773048005,1342143,..
2019,YR2019,Burundi,BDI,..,39.6658233830583,2205255700000,11530577,0.0346896855522433,0.0248328216694377,650269,..
2019,YR2019,Cabo Verde,CPV,..,102.019061747166,199143547419.477,549936,5.25223996743987,0.621153696596358,53616,..
2019,YR2019,Cambodia,KHM,..,107.655731335742,118436428209088,16486542,13.5220210875057,0.375931494659252,..,..
2019,YR2019,Cameroon,CMR,..,..,..,25876387,2.62714366237221,0.322781438549511,..,..
2019,YR2019,Canada,CAN,4238,..,..,37593384,2.58890257398823,4.37378093882678,2659138,138.32861701788
2019,YR2019,Cayman Islands,CYM,..,..,..,64948,16.5929546798049,-11.2620738932919,..,6.38586133658599
2019,YR2019,Central African Republic,CAF,..,28.7142193152506,373544000000,4745179,1.15304567083652,..,..,..
2019,YR2019,Chad,TCD,..,16.9432803881642,1123264000000,15946882,5.00787792795178,..,537388,..
2019,YR2019,Channel Islands,CHI,..,..,..,172264,..,..,..,..
2019,YR2019,Chile,CHL,438,83.989074776414,164937184546679,18952035,4.50510433594661,3.34285284046581,1537232,72.942818876162
2019,YR2019,China,CHN,1243568,197.886547609537,195218087092332,1397715000,1.31071878144875,0.958757699830677,86101696,59.6326447466719
2019,YR2019,Colombia,COL,422,48.6545218698712,516282375920359,50339443,4.32546272393276,0.975017027364143,4908362,40.8250086085395
2019,YR2019,Comoros,COM,..,28.6352143503371,146710696231.27,850891,0.315425936424468,..,..,..
2019,YR2019,"Congo, Dem. Rep.",COD,..,..,..,86790568,2.68050441477657,0.2526706958553,..,..
2019,YR2019,"Congo, Rep.",COG,..,22.923122930589,1704861000000,5380504,26.5180473226173,0.178404091539567,..,..
2019,YR2019,Costa Rica,CRI,16,45.2661410732009,17001122489930.3,5047561,4.25173409265614,0.037354226337333,504316,3.46725780182636
2019,YR2019,Cote d'Ivoire,CIV,..,31.4006468986693,10770074281082.4,25716554,1.45010160325616,0.186572198002025,2227143,13.8370508588426
2019,YR2019,Croatia,HRV,195,72.996063477459,293690000000,4065253,1.92592988231464,0.373263874574268,326095,36.9667538098741
2019,YR2019,Cuba,CUB,27,..,..,11333484,..,..,771999,..
2019,YR2019,Curacao,CUW,..,..,..,157441,2.5222828372537,-0.359334586290118,..,..
2019,YR2019,Cyprus,CYP,4,..,..,1198574,103.933223573924,80.2646721492559,55499,17.1744710862835
2019,YR2019,Czech Republic,CZE,765,82.5406866737543,4779393000000,10671870,4.25829887665939,1.89161824201084,807502,10.421110915527
2019,YR2019,Denmark,DNK,1351,62.2304524522599,1442527940000,5814422,-1.01272776243685,1.83900417563829,527967,..
2019,YR2019,Djibouti,DJI,..,64.4153785876037,380600841000,973557,5.26370727810673,..,65499,..
2019,YR2019,Dominica,DMA,..,101.46984027742,1574243690,71808,5.6650595575807,0.00730504133063476,4863,..
2019,YR2019,Dominican Republic,DOM,23,34.3034639443454,1565004664249.03,10738957,3.18097442749009,-0.215647849283401,940592,..
2019,YR2019,Ecuador,ECU,29,40.8374974873508,44148605459,17373657,0.901245435241553,0,1877419,..
2019,YR2019,"Egypt, Arab Rep.",EGY,1027,77.2348418500767,4110515518102.93,100388076,2.97283696285301,0.133638261588471,9413798,14.5835171454877
2019,YR2019,El Salvador,SLV,1,59.0331766720106,15877952816.67,6453550,2.58874905939536,0.225023048813497,487992,..
2019,YR2019,Equatorial Guinea,GNQ,..,12.4129290590152,830364000000,1355982,3.96142681823214,..,..,..
2019,YR2019,Eritrea,ERI,..,..,..,..,..,..,..,..
2019,YR2019,Estonia,EST,31,..,..,1326898,9.86641705673601,5.95668679825613,86033.328125,..
2019,YR2019,Eswatini,SWZ,..,28.4279549587055,18368609839.595,1148133,2.86186059591838,0.46761113653771,..,..
2019,YR2019,Ethiopia,ETH,..,..,..,112078727,2.65736063499647,..,..,..
2019,YR2019,Faroe Islands,FRO,..,..,..,48677,..,..,..,..
2019,YR2019,Fiji,FJI,..,72.6234137609179,8623376773.38515,889955,5.86368497436139,-0.65807828687011,..,..
2019,YR2019,Finland,FIN,1321,..,..,5521606,5.80829117377838,2.62041396978385,514823,..
2019,YR2019,France,FRA,14103,..,..,67248926,2.1064677762116,2.30952264127902,6125799,..
2019,YR2019,French Polynesia,PYF,..,..,..,279285,..,..,..,..
2019,YR2019,Gabon,GAB,..,22.9275307613307,2266828000000,2172578,9.20407399093131,-0.200179032089607,..,..
2019,YR2019,"Gambia, The",GMB,..,..,..,2347696,3.89268540018528,-0.0890815139459833,..,..
2019,YR2019,Georgia,GEO,85,50.0352137895794,24643670675.9066,3720161,7.67353212632608,1.78451216393211,282929,..
2019,YR2019,Germany,DEU,46632,..,..,83092962,1.73902556934697,3.93866295808764,6923443,53.9608434182211
2019,YR2019,Ghana,GHA,..,26.8248084035321,94098262048.24,30417858,5.77061395406846,0.874205744924991,2851160,..
2019,YR2019,Gibraltar,GIB,..,..,..,33706,..,..,2157,..
2019,YR2019,Greece,GRC,356,..,..,10721582,2.4349660279254,0.305258042904497,689298,26.1310261059801
2019,YR2019,Greenland,GRL,..,..,..,56225,..,..,..,..
2019,YR2019,Grenada,GRD,..,82.2814628881708,2691253860,112002,10.8175700671666,0.803424656837645,..,..
2019,YR2019,Guam,GUM,..,..,..,167295,..,..,..,..
2019,YR2019,Guatemala,GTM,7,53.8069076663846,318967322280.943,16604026,1.51821203481139,0.480248632817279,1195065,..
2019,YR2019,Guinea,GIN,..,23.5878745682928,29274709960741.1,12771246,0.328552809586471,0.00754783481482434,..,..
2019,YR2019,Guinea-Bissau,GNB,..,43.3852947380353,365954961115.328,1920917,4.97754701310162,0.0270776520286929,..,..
2019,YR2019,Guyana,GUY,..,52.1092398998181,562117410299.91,782775,32.7649531832187,0.197148706772516,..,..
2019,YR2019,Haiti,HTI,..,31.3721147590139,378298676437.065,11263079,0.523298532161161,..,..,..
2019,YR2019,Honduras,HND,..,62.080360478512,381743124806.175,9746115,3.80668065182598,1.81615628253413,688235,..
2019,YR2019,"Hong Kong SAR, China",HKG,346,403.379573044689,11474373983000,7507400,16.0597056698599,10.4039271297835,341388,1349.59052526303
2019,YR2019,Hungary,HUN,427,58.3262943241843,27718971200000,9771141,56.3685033623564,56.2320291926298,624762,20.1136365683751
2019,YR2019,Iceland,ISL,47,64.5741018177461,1968042565345,360563,-2.41387441452054,0.663164767866752,34585,..
2019,YR2019,India,IND,19454,76.0459639203596,154761239231776,1366417756,1.76312750821245,0.457783775560633,130932816,79.6697859870675
2019,YR2019,Indonesia,IDN,3093,38.7591226455393,6.13655181358442E+15,270625567,2.23337923027627,0.398759363563357,..,46.763108527247
2019,YR2019,"Iran, Islamic Rep.",IRN,11569,..,..,82913893,0.583940480526689,0.0328449596907706,..,124.172995424971
2019,YR2019,Iraq,IRQ,..,..,..,39309789,-1.38270143275172,0.0873067428275409,..,..
2019,YR2019,Ireland,IRL,58,..,..,4934340,-11.6839510353976,-36.0986482751775,445485,..
2019,YR2019,Isle of Man,IMN,..,..,..,84589,..,..,..,..
2019,YR2019,Israel,ISR,1368,86.7777725057469,1220745092025.78,9054000,4.39944325883688,2.2017107225549,847418,60.1469229491312
2019,YR2019,Italy,ITA,9229,..,..,59729081,1.55543950445526,1.63942552078564,4640170,..
2019,YR2019,Jamaica,JAM,14,52.0381052568383,1098229345915.05,2948277,4.20330543590115,2.81724063904058,203115,99.6000285792063
2019,YR2019,Japan,JPN,245372,251.502404381515,1.4116E+15,126264931,0.775579006574921,5.01978699400919,6875056,120.243454703493
2019,YR2019,Jordan,JOR,21,106.339255286409,33600074149.169,10101697,1.85491964233972,0.0971609503836023,832784,47.2697103576051
2019,YR2019,Kazakhstan,KAZ,..,30.664842365347,21322070308710.5,18513673,1.82787272666198,-1.19861385097242,1928070,24.7553561990471
2019,YR2019,Kenya,KEN,294,40.0144573180126,3897552194820.77,52573967,1.3951767685004,0.21355850336104,..,26.2415806479432
2019,YR2019,Kiribati,KIR,..,..,..,117608,-0.286816608047912,0.0579332123863185,..,..
2019,YR2019,"Korea, Dem. People's Rep.",PRK,..,..,..,25666158,..,..,..,..
2019,YR2019,"Korea, Rep.",KOR,171603,151.826420023888,2.913609579E+15,51709098,0.585053169673544,2.13992595685478,2726376,90.1685162051294
2019,YR2019,Kosovo,XKX,..,48.1395329008205,3419716401,1788878,3.58450845006733,0.929677231334168,..,..
2019,YR2019,Kuwait,KWT,..,92.2124689970855,38129244000,4207077,0.37858284492362,3.4356049955551,..,86.7435538429955
2019,YR2019,Kyrgyz Republic,KGZ,92,37.192629402461,230260572831.63,6456200,3.1434841266426,0.7575825704675,697776,..
2019,YR2019,Lao PDR,LAO,..,..,..,7169456,4.14078272564123,0,666155,..
2019,YR2019,Latvia,LVA,82,..,..,1913822,3.19354475336686,0.255302530269135,117546,..
2019,YR2019,Lebanon,LBN,..,..,..,6855709,4.27621078274128,0.68072428513009,406169,14.8789321121357
2019,YR2019,Lesotho,LSO,..,..,..,2125267,1.51011732135895,..,..,..
2019,YR2019,Liberia,LBR,..,..,..,4937374,2.8230317372067,3.32097372137621,..,..
2019,YR2019,Libya,LBY,..,141.817551795556,103269019276,6777453,..,0.662438278380121,..,..
2019,YR2019,Liechtenstein,LIE,..,..,..,38020,..,..,3258,..
2019,YR2019,Lithuania,LTU,90,..,..,2794137,2.88064294410444,1.00368527442568,226226,..
2019,YR2019,Luxembourg,LUX,117,..,..,620001,-16.0619423207896,2.08449437685993,48943,62.208930907757
2019,YR2019,"Macao SAR, China",MAC,..,154.458048427608,687520576000,640446,11.7471245118337,1.79941384677529,26022,..
2019,YR2019,Madagascar,MDG,..,24.4797226407629,12570558928264,26969306,3.3421250198045,0.716029196645808,1494520,..
2019,YR2019,Malawi,MWI,..,..,..,18628749,0.906068711280525,-0.0588951217586681,989847,..
2019,YR2019,Malaysia,MYS,1071,123.073445470965,1859261390219.2,31949789,2.51038920551485,2.06425434927388,2602216,110.769953160523
2019,YR2019,Maldives,MDV,..,41.7585567825391,36241416260.43,530957,16.946531244173,0,21293,..
2019,YR2019,Mali,MLI,..,29.5464248907824,2991754553355.51,19658023,2.85747378299268,0.341815834227539,..,..
2019,YR2019,Malta,MLT,5,..,..,504062,27.9629557894813,-43.464656499232,30727.8203125,34.9371701650683
2019,YR2019,Marshall Islands,MHL,..,..,..,58791,1.74442304372047,..,5764,..
